Serial No,Song Name,Artist Name,Camelot,BPM,Duration,Popularity,energy,Danceability,Happiness,Accousticness,Instrumentalness,Liveness,Speechiness,Loudness,Category,Language
250,Vakratunda Mahakay,"Meditating Spirit, Bhanupratap Rawal",8A,74,4:38,29,12,7,4,72,50,11,4,-14,Vocal(Sanskrit),
251,Om Chanting-Reverb Version,"Meditating Spirit, Bhanupratap Rawal",4B,84,2:04,30,12,9,26,84,88,8,4,-23,Vocal(Sanskrit),
252,Om Trayambakam,"Meditating Spirit, Bhanupratap Rawal",5B,164,2:24,28,5,9,9,32,88,11,4,-15,Vocal(Sanskrit),
253,Vakratunda Gajanan,"Meditating Spirit, Bhanupratap Rawal",1B,83,3:14,27,10,13,3,77,38,12,4,-17,Vocal(Sanskrit),
254,Lakshmi Mata – Mahalakshmi Mantra,"Meditating Spirit, Bhanupratap Rawal",5B,116,3:28,27,9,42,4,82,0,11,4,-17,Vocal(Sanskrit),
255,Saraswati Vidya Mantra,"Meditating Spirit, Bhanupratap Rawal",10B,64,3:38,32,6,29,4,88,0,10,4,-13,Vocal(Sanskrit),
256,Shanti Mantra,"Meditating Spirit, Bhanupratap Rawal",3B,76,2:32,27,8,54,4,42,0,11,3,-15,Vocal(Sanskrit),
257,Om Hreeng Greeng Hreeng (Shaktivinyak Mantra),"Meditating Spirit, Bhanupratap Rawal",10B,88,4:20,26,4,9,6,74,23,12,4,-19,Vocal(Sanskrit),
258,Ganesh Mool Mantra,"Meditating Spirit, Bhanupratap Rawal",10B,79,3:12,27,8,16,5,76,0,9,4,-16,Vocal(Sanskrit),
259,Shiv Dhyan Mantra,"Meditating Spirit, Bhanupratap Rawal",2B,124,3:48,26,8,43,4,95,0,10,4,-16,Vocal(Sanskrit),
260,Om - 8 Times (Vishnu Theme),"Meditating Spirit, Bhanupratap Rawal",9B,78,2:09,26,0,18,4,99,64,22,4,-29,Vocal(Sanskrit),
